source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,player_source_id,minutes_played,touches,progressive_carries,progressive_passes,progressive_actions_per90,pass_completion_pct,dribble_success_pct,touch_quality,pressure_actions_per90,sprints_per90,tackles_won_per90,interceptions_per90,ball_recoveries_per90,xg,xa,xg_xa_per90,shot_creation_actions,final_third_entries,aerial_duel_win_pct,pressure_regains
statsbomb,1,43,2,2018,71,11,794,5564,88.98333333333333,56,1,15,16.182805768870576,76.0,0.0,0.0,27.3084847349691,2.022850721108822,0.0,1.011425360554411,1.011425360554411,0.0,0.0,0.0,9,7,0.0,1
statsbomb,1,43,2,2018,71,11,794,5567,33.95,16,0,4,10.603829160530191,66.66666666666666,0.0,0.125,50.36818851251841,0.0,0.0,0.0,5.3019145802650955,0.0,0.0,0.0,2,2,0.0,1
statsbomb,1,43,2,2018,71,11,794,5568,26.95,35,2,4,20.037105751391465,50.0,0.0,0.0,73.46938775510205,3.339517625231911,0.0,0.0,6.679035250463822,0.0,0.0,0.0,3,2,0.0,4
statsbomb,1,43,2,2018,71,11,794,5571,65.98333333333333,80,5,1,8.183884819398838,90.9090909090909,33.33333333333333,0.0375,38.19146249052791,8.183884819398838,1.3639808032331397,2.7279616064662795,4.091942409699419,0.3128779,0.0,0.42675944935589794,12,3,0.0,6
statsbomb,1,43,2,2018,71,11,794,5573,83.93333333333334,80,1,15,17.15647339158062,78.125,0.0,0.0,5.361397934868943,3.216838760921366,0.0,1.0722795869737887,2.1445591739475773,0.09705013,0.0,0.1040648733121525,5,4,0.0,1
statsbomb,1,43,2,2018,71,11,794,5575,91.98333333333333,140,7,11,17.611886211270157,84.21052631578947,55.55555555555556,0.03571428571428571,52.835658633810475,4.89219061424171,0.9784381228483421,1.9568762456966842,4.89219061424171,0.028636595,0.0,0.028019136256568218,15,7,0.0,5
statsbomb,1,43,2,2018,71,11,794,5576,91.98333333333333,124,3,22,24.460953071208554,78.0,83.33333333333334,0.008064516129032258,35.223772422540314,1.9568762456966842,0.0,4.89219061424171,3.9137524913933683,0.0,0.0,0.0,20,10,0.0,4
statsbomb,1,43,2,2018,71,11,794,5577,92.98333333333333,64,2,28,29.03746191073669,69.6969696969697,0.0,0.0,0.0,1.9358307940491126,0.0,0.0,6.7754077791718945,0.0,0.0,0.0,5,4,0.0,0
statsbomb,1,43,2,2018,72,5,786,,97.98333333333333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
statsbomb,1,43,2,2018,72,5,786,3381,92.98333333333333,122,3,9,11.614984764294675,87.2340425531915,100.0,0.00819672131147541,16.454561749417458,3.8716615880982252,0.0,0.9679153970245563,9.679153970245563,0.07834383,0.0,0.07583019931887434,8,4,0.0,0
statsbomb,1,43,2,2018,72,5,786,3455,85.96666666666667,132,4,24,29.3136874757658,88.23529411764706,0.0,0.007575757575757576,12.563008918185343,5.234587049243893,1.0469174098487786,0.0,5.234587049243893,0.0,0.0,0.0,15,12,0.0,1
statsbomb,1,43,2,2018,72,5,786,3831,80.96666666666667,107,10,9,21.119802387813916,67.74193548387096,0.0,0.07476635514018691,13.338822560724578,6.669411280362289,2.2231370934540964,0.0,6.669411280362289,0.0,0.0,0.0,18,6,0.0,1
statsbomb,1,43,2,2018,72,5,786,4269,88.96666666666667,81,2,3,5.058074185088048,57.89473684210527,0.0,0.037037037037037035,14.162607718246536,2.0232296740352194,2.0232296740352194,0.0,0.0,0.79080807,0.0,0.7999931768452604,12,2,0.0,0
statsbomb,1,43,2,2018,72,5,786,5580,93.96666666666667,120,6,19,23.9446612273856,85.1063829787234,0.0,0.0,5.746718694572543,6.7045051436679675,0.9577864490954239,1.9155728981908478,1.9155728981908478,0.0,0.0,0.0,9,9,0.0,1
statsbomb,1,43,2,2018,72,5,786,5583,6.333333333333333,6,0,1,14.210526315789474,66.66666666666666,0.0,0.0,28.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0
statsbomb,1,43,2,2018,72,5,786,5587,69.91666666666667,62,2,2,5.148986889153754,71.42857142857143,100.0,0.016129032258064516,11.585220500595947,5.148986889153754,0.0,0.0,3.8617401668653155,0.0,0.0,0.0,15,3,0.0,1
statsbomb,1,43,2,2018,72,5,786,5588,10.85,13,0,1,8.294930875576037,100.0,0.0,0.0,41.474654377880185,0.0,0.0,0.0,8.294930875576037,0.0,0.0,0.0,0,0,0.0,1
statsbomb,1,43,2,2018,72,5,786,5589,91.98333333333333,130,8,11,18.5903243341185,70.27027027027027,50.0,0.05384615384615385,10.762819351331762,3.9137524913933683,0.0,0.0,4.89219061424171,0.182434612,0.0,0.17850097930784561,27,11,0.0,2
statsbomb,1,43,2,2018,72,5,786,5591,28.866666666666667,25,2,4,18.706697459584294,33.33333333333333,0.0,0.04,12.471131639722863,6.235565819861431,0.0,0.0,6.235565819861431,0.923558457,0.0,2.879454773556582,4,3,0.0,0
statsbomb,1,43,2,2018,72,5,786,5594,97.98333333333333,138,5,26,28.474230311277427,77.04918032786885,100.0,0.0,21.126041843850995,4.592617792141521,0.0,0.9185235584283041,1.8370471168566083,0.0,0.0,0.0,23,13,0.0,1
statsbomb,1,43,2,2018,72,5,786,5596,95.9,104,5,15,18.769551616266945,80.0,0.0,0.0,6.56934306569343,4.692387904066736,0.0,1.8769551616266944,1.8769551616266944,0.017424035,0.0,0.01635206621480709,14,8,0.0,2
statsbomb,1,43,2,2018,72,5,786,5601,94.96666666666667,28,1,14,14.215514215514215,68.42105263157895,0.0,0.0,0.0,0.9477009477009477,0.0,0.0,1.8954018954018954,0.0,0.0,0.0,8,8,0.0,0
statsbomb,1,43,2,2018,72,5,786,5603,97.98333333333333,119,0,14,12.859329817996258,87.2340425531915,0.0,0.0,3.6740942337132165,0.9185235584283041,0.0,0.0,0.9185235584283041,0.0,0.0,0.0,4,4,0.0,0
statsbomb,1,43,2,2018,72,31,795,,97.96666666666667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
statsbomb,1,43,2,2018,72,31,795,5581,31.933333333333334,48,2,4,16.910229645093946,69.23076923076923,100.0,0.0,8.455114822546973,8.455114822546973,0.0,0.0,5.6367432150313155,0.02729148,0.0,0.07691753235908143,11,2,0.0,0
statsbomb,1,43,2,2018,72,31,795,5582,91.98333333333333,145,1,12,12.719695597028448,85.45454545454545,100.0,0.0,13.69813371987679,0.9784381228483421,0.0,0.9784381228483421,7.827504982786737,0.068592064,0.0,0.06711309034245334,18,6,0.0,1
statsbomb,1,43,2,2018,72,31,795,5584,94.96666666666667,97,1,16,16.11091611091611,87.8048780487805,0.0,0.0,0.0,1.8954018954018954,0.0,0.0,4.738504738504739,0.20470591999999999,0.0,0.19399999438399437,3,3,0.0,0
statsbomb,1,43,2,2018,72,31,795,5585,19.733333333333334,17,3,0,13.682432432432432,100.0,0.0,0.058823529411764705,18.243243243243242,9.121621621621621,4.5608108108108105,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0
statsbomb,1,43,2,2018,72,31,795,5586,66.96666666666667,43,1,1,2.687904430064709,85.71428571428571,100.0,0.0,13.439522150323544,0.0,0.0,0.0,1.3439522150323544,0.067131013,0.0,0.09022087361871578,3,2,0.0,1
statsbomb,1,43,2,2018,72,31,795,5590,91.96666666666667,73,3,9,11.743385284523377,86.66666666666667,0.0,0.0,9.786154403769482,1.9572308807538963,0.9786154403769481,0.0,1.9572308807538963,0.0,0.0,0.0,5,2,0.0,1
statsbomb,1,43,2,2018,72,31,795,5592,94.98333333333333,168,8,11,18.003158448850677,84.0,75.0,0.023809523809523808,10.422881207229338,5.685207931216002,0.0,0.9475346552026671,0.9475346552026671,0.10570443,0.0,0.10015861063344446,20,12,0.0,2
statsbomb,1,43,2,2018,72,31,795,5593,34.983333333333334,74,1,8,23.153882801333967,73.07692307692307,50.0,0.02702702702702703,12.863268222963315,5.145307289185326,0.0,0.0,0.0,0.0,0.0,0.0,19,5,0.0,0
statsbomb,1,43,2,2018,72,31,795,5595,58.96666666666667,73,5,8,19.841718485019783,54.166666666666664,0.0,0.0821917808219178,21.368004522329,7.631430186546071,0.0,0.0,6.105144149236857,0.0,0.0,0.0,15,6,0.0,2
statsbomb,1,43,2,2018,72,31,795,5597,97.98333333333333,56,1,22,21.126041843850995,69.23076923076923,0.0,0.0,0.0,0.9185235584283041,0.0,0.0,10.103759142711345,0.0,0.0,0.0,7,6,0.0,0
statsbomb,1,43,2,2018,72,31,795,5598,94.96666666666667,146,10,22,30.326430326430327,77.96610169491525,100.0,0.0,0.9477009477009477,10.424710424710424,0.0,2.843102843102843,1.8954018954018954,0.059850305,0.0,0.05672019076869077,17,12,0.0,0
